,Year,School,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
34,2010,Butler,.697,7.84,-0.13,2223,1960,70.6,94.3,.338,.302,.514,50.6,57.0,13.2,6.6,.477,19.6,31.9,.240
35,2010,Cal Poly,.621,2.62,-2.32,2081,1865,72.7,98.3,.317,.249,.524,53.5,68.5,10.6,5.1,.497,20.1,35.7,.211
36,2010,Cal State Bakersfield,.552,0.14,-3.17,2183,2087,78.9,94.5,.313,.345,.503,42.1,46.5,14.3,6.3,.477,16.8,27.0,.201
37,2010,Cal State Fullerton,.469,-3.08,-1.11,2155,2154,72.7,90.9,.310,.278,.463,49.3,50.3,9.7,2.6,.415,17.8,36.1,.233
38,2010,Cal State Northridge,.143,-14.61,-1.50,1695,1972,74.4,80.3,.328,.236,.457,48.9,62.4,10.1,9.7,.417,23.8,29.8,.221
39,2010,California,.649,18.24,12.48,2447,2234,69.5,93.9,.331,.249,.471,55.7,47.7,10.8,8.4,.436,18.2,43.0,.219
40,2010,Campbell,.467,-13.96,-10.81,1959,1965,73.9,88.3,.349,.241,.479,52.2,59.6,12.4,6.5,.444,22.8,37.2,.229
41,2010,Canisius,.387,-6.40,-3.85,1721,1800,67.2,81.0,.235,.379,.446,46.6,60.0,12.0,5.8,.413,20.4,28.6,.167
44,2010,Centenary (LA),.069,-34.16,-8.56,709,,,,.380,.331,.480,,62.9,,,.441,30.0,,.251
45,2010,Central Arkansas,.724,-9.78,-14.70,2200,1571,68.6,110.6,.440,.355,.513,58.5,51.3,12.7,10.5,.457,19.2,44.0,.325
46,2010,Central Connecticut State,.400,-9.02,-7.99,1793,1824,71.2,83.6,.330,.291,.465,51.9,60.3,10.6,11.2,.427,23.0,35.3,.223
47,2010,Central Florida,.407,1.71,1.42,1743,1735,71.5,89.8,.323,.229,.462,54.0,47.8,13.6,3.0,.428,20.2,43.6,.210
48,2010,Central Michigan,.400,-2.56,0.34,2149,2236,77.3,91.9,.342,.388,.507,45.4,55.9,14.8,4.2,.462,21.0,32.3,.254
49,2010,Charleston Southern,.548,-9.23,-8.73,2042,1722,67.6,97.0,.333,.471,.484,52.5,51.4,13.5,4.4,.446,20.9,35.9,.229
50,2010,Charlotte,.563,6.64,3.70,2025,1931,72.9,85.4,.319,.205,.454,53.1,57.8,12.9,8.4,.417,20.8,38.5,.212
51,2010,Chattanooga NCAA,.727,1.70,-3.58,2216,2042,70.3,94.4,.342,.396,.510,54.2,55.3,9.5,4.4,.471,19.2,31.5,.245
52,2010,Chicago State,.387,-14.00,-10.00,1939,1986,70.9,88.2,.334,.276,.503,51.6,67.6,14.3,10.2,.474,24.6,35.1,.218
53,2010,Cincinnati,.400,6.60,9.77,1692,1736,64.5,86.3,.316,.307,.473,49.7,55.3,9.2,5.6,.434,20.1,28.3,.221
54,2010,Clemson,.419,4.22,9.54,1967,2132,76.5,81.6,.290,.247,.447,48.9,60.5,13.1,11.0,.415,21.5,33.2,.187
55,2010,Cleveland State NCAA,.576,3.45,1.01,2198,2046,70.0,94.1,.337,.327,.498,52.0,65.5,13.6,5.7,.460,20.6,37.0,.234
56,2010,Coastal Carolina,.567,-11.95,-8.26,1703,1441,61.4,92.4,.355,.243,.465,50.7,56.4,15.5,10.3,.422,21.7,32.9,.243
57,2010,Colgate,.345,-18.42,-10.62,1634,1860,69.3,81.0,.302,.270,.440,49.4,57.6,8.2,6.4,.403,20.2,30.9,.200
58,2010,College of Charleston,.636,-2.39,-4.42,2078,1963,68.6,91.5,.263,.331,.489,51.4,55.9,12.9,6.2,.461,20.2,34.3,.178
59,2010,Colorado,.433,10.38,9.98,2009,1997,71.3,93.5,.274,.386,.515,49.0,50.8,11.9,9.2,.478,20.6,31.5,.209
60,2010,Colorado State,.433,0.23,3.00,1811,1894,71.7,83.9,.320,.346,.468,49.3,63.2,12.0,7.2,.428,22.0,31.4,.223
61,2010,Columbia,.643,1.69,-3.24,1839,1701,71.5,91.1,.293,.282,.486,53.4,57.2,13.2,8.5,.457,20.8,39.4,.193
62,2010,Connecticut NCAA,1.000,49.94,15.04,3162,1801,72.3,112.1,.304,.281,.585,60.4,64.0,12.8,13.9,.559,17.1,40.0,.220
63,2010,Coppin State,.345,-14.83,-7.79,1637,1563,67.6,83.2,.295,.184,.443,52.8,55.1,12.0,7.1,.418,24.1,35.5,.173
66,2010,Cornell,.259,-16.98,-4.13,1570,1823,69.9,83.2,.334,.331,.467,47.4,67.8,6.9,5.1,.428,23.5,31.9,.225
67,2010,Creighton,.656,9.75,3.53,2085,1886,68.5,94.8,.338,.372,.497,52.9,55.1,10.3,9.4,.460,18.0,33.2,.234
68,2010,Dartmouth,.393,-8.88,-1.13,1438,1655,65.4,77.5,.371,.284,.430,50.5,55.6,11.5,10.1,.382,23.2,35.3,.247
69,2010,Davidson,.483,-4.40,-3.55,1921,1864,72.7,90.3,.380,.286,.506,51.5,57.1,10.5,9.1,.469,22.7,32.5,.256
70,2010,Dayton NCAA,.758,16.23,4.90,2350,1976,72.9,96.3,.311,.288,.503,53.9,57.1,10.3,10.7,.468,18.9,37.2,.218
71,2010,Delaware,.636,4.74,0.01,2069,1913,66.3,92.9,.394,.253,.494,53.6,42.7,11.0,10.0,.449,20.4,38.5,.276
72,2010,Delaware State,.200,-19.81,-8.16,1450,1635,65.4,73.9,.305,.213,.385,49.1,39.5,15.0,6.4,.337,22.0,37.8,.206
73,2010,Denver,.581,-4.19,-4.58,1941,1929,67.7,92.5,.379,.216,.566,52.1,64.3,7.5,11.0,.524,24.9,27.0,.288
74,2010,DePaul NCAA,.636,14.48,10.97,2254,2074,71.2,94.5,.256,.278,.498,53.3,59.7,13.0,10.7,.461,19.7,37.2,.195
75,2010,Detroit Mercy,.548,-0.15,0.27,1905,1918,68.7,88.8,.286,.320,.495,47.7,59.0,10.2,2.7,.467,20.1,27.0,.191
76,2010,Drake,.500,1.95,0.39,2016,1969,70.8,94.5,.360,.206,.512,49.7,53.5,13.3,4.1,.469,19.6,32.6,.261
77,2010,Drexel,.548,2.60,2.21,1901,1889,65.3,91.3,.266,.358,.499,45.8,62.0,10.8,2.9,.455,18.5,27.2,.215
78,2010,Duke NCAA,.833,28.48,12.45,2537,1960,74.6,94.5,.319,.225,.485,57.2,52.3,17.9,13.9,.451,19.4,43.6,.214
79,2010,Duquesne,.625,2.55,1.58,2055,2024,72.4,86.3,.279,.306,.467,47.7,62.9,13.9,9.7,.434,19.7,31.0,.191
80,2010,East Carolina,.676,5.65,-0.77,2430,2212,73.8,95.1,.380,.261,.541,52.9,62.4,11.7,5.5,.506,23.5,35.6,.267
81,2010,East Tennessee State NCAA,.719,0.82,-5.31,2491,2295,79.6,97.5,.320,.292,.509,52.1,52.6,12.2,7.6,.467,18.7,37.4,.240
82,2010,Eastern Illinois,.676,-2.60,-8.90,2376,2058,73.2,95.5,.425,.248,.505,54.9,61.9,10.9,7.3,.455,19.3,36.6,.304
83,2010,Eastern Kentucky,.414,-14.96,-9.85,1606,1680,69.9,78.6,.316,.278,.463,53.5,57.4,10.6,9.2,.428,26.2,31.1,.208
84,2010,Eastern Michigan,.710,3.70,-0.37,2227,1914,73.6,96.5,.402,.300,.482,52.7,52.8,15.7,10.4,.441,18.2,39.0,.265
85,2010,Eastern Washington,.613,-3.44,-2.37,2059,1910,70.7,93.3,.278,.278,.480,50.9,54.2,12.2,9.1,.448,18.7,33.4,.191
88,2010,Elon,.387,-13.27,-6.73,2000,1925,75.7,84.9,.355,.256,.465,51.3,45.6,13.1,11.9,.425,24.0,31.9,.237
89,2010,Evansville,.133,-14.04,1.49,1683,2149,74.5,75.0,.314,.260,.432,44.1,57.6,11.1,6.6,.390,22.6,26.5,.213
90,2010,Fairfield,.588,-4.93,-5.31,1973,1960,66.6,87.1,.252,.271,.463,50.5,56.4,9.8,15.5,.435,18.7,32.7,.166
91,2010,Fairleigh Dickinson,.310,-11.52,-6.07,1666,1824,70.5,81.5,.300,.303,.458,45.1,44.9,11.3,6.8,.415,21.1,28.4,.216
92,2010,Florida,.469,8.34,10.00,1995,2048,70.3,87.3,.281,.391,.474,48.8,61.9,12.6,9.0,.441,21.8,36.6,.192
93,2010,Florida A&M,.621,-9.93,-8.66,1758,1503,65.6,90.5,.308,.321,.457,55.2,43.5,12.5,8.8,.420,22.6,42.1,.208
94,2010,Florida Atlantic,.483,-3.80,-2.23,1945,1898,70.4,94.8,.290,.320,.504,48.3,50.5,12.1,4.6,.471,19.1,32.8,.204
95,2010,Florida Gulf Coast,.774,4.41,-7.26,2167,1814,69.3,100.9,.346,.515,.547,46.2,75.2,12.1,4.7,.511,17.3,26.7,.251
96,2010,Florida International,.467,-3.93,-1.52,1824,1829,69.7,86.5,.286,.317,.485,53.1,53.5,11.8,13.3,.453,24.0,34.9,.196
97,2010,Florida State NCAA,.829,23.29,10.35,2582,2129,75.6,97.3,.358,.270,.531,55.5,59.5,11.2,10.2,.493,21.1,40.1,.257
98,2010,Fordham,.267,-8.17,-1.01,1678,1893,67.9,82.4,.320,.288,.463,47.0,54.2,12.3,4.4,.424,21.1,27.4,.219
99,2010,Fresno State NCAA,.794,14.59,2.51,2479,2068,73.0,99.5,.290,.408,.521,51.7,56.6,13.9,5.9,.489,17.9,35.0,.205
100,2010,Furman,.226,-12.23,-4.10,1730,1916,67.9,81.9,.366,.315,.457,47.1,58.2,13.5,9.2,.409,22.5,31.6,.255
101,2010,Gardner-Webb,.848,1.57,-7.16,2263,1776,69.2,97.6,.374,.241,.505,54.8,60.1,14.1,11.8,.466,19.6,36.2,.256
102,2010,George Mason,.333,-7.80,-0.20,1613,1841,69.3,77.6,.288,.213,.427,47.2,53.6,12.3,9.2,.390,22.5,35.0,.191
103,2010,George Washington,.214,-6.20,4.05,1535,1822,69.9,78.0,.253,.251,.431,48.4,53.1,10.6,7.4,.397,20.6,29.5,.172
104,2010,Georgetown NCAA,.788,18.71,9.52,2205,1842,69.5,95.1,.310,.327,.482,50.9,66.4,18.3,9.6,.441,18.4,39.8,.224
105,2010,Georgia NCAA,.735,16.66,9.84,2126,1849,68.5,90.3,.347,.302,.465,52.5,53.1,12.0,14.6,.426,19.2,37.5,.230
106,2010,Georgia Southern,.613,-3.49,-4.72,1841,1708,66.4,89.0,.385,.311,.483,49.3,60.9,14.0,6.4,.435,20.5,31.1,.271
107,2010,Georgia State,.500,1.56,-2.01,1766,1659,67.7,87.0,.295,.179,.463,48.2,59.5,16.1,8.4,.431,19.7,34.9,.193
110,2010,Georgia Tech NCAA,.697,15.10,7.10,2172,1857,72.0,91.0,.378,.179,.477,56.4,62.3,14.7,6.3,.428,21.1,41.2,.269
111,2010,Gonzaga NCAA,.853,25.17,4.26,2719,1901,75.0,106.2,.247,.225,.538,54.3,60.8,14.8,11.5,.511,17.4,37.9,.182
112,2010,Grambling,.464,-17.08,-13.49,1632,1604,69.1,83.6,.426,.321,.478,50.3,56.6,12.2,9.8,.431,26.2,34.6,.288
113,2010,Green Bay NCAA,.848,13.24,-1.49,2355,1869,69.6,102.1,.343,.317,.558,52.4,71.9,16.8,6.3,.518,20.3,35.1,.262
114,2010,Hampton NCAA,.625,-0.65,-6.97,1989,1726,69.7,88.8,.305,.272,.451,50.2,51.6,14.2,6.0,.407,17.8,35.6,.218
115,2010,Hartford NCAA,.844,12.51,0.70,1992,1614,67.3,91.7,.357,.347,.491,55.3,57.5,10.7,12.6,.451,20.0,37.1,.248
116,2010,Harvard,.690,0.79,-3.04,1993,1882,70.8,95.8,.255,.320,.518,48.8,58.5,10.6,12.7,.487,19.1,32.4,.189
117,2010,Hawaii,.333,-7.54,3.67,1815,2064,72.2,83.4,.342,.242,.468,49.2,51.5,8.5,9.8,.439,23.8,33.1,.210
118,2010,High Point,.548,-5.19,-6.89,2060,2017,75.4,87.4,.325,.245,.479,46.9,55.3,11.8,11.2,.440,19.9,29.6,.228
119,2010,Hofstra,.588,4.24,1.50,2115,2022,72.7,84.6,.384,.194,.480,54.6,57.8,12.3,11.9,.440,24.7,39.7,.256
120,2010,Holy Cross,.323,-10.67,-4.48,1841,2033,67.3,87.2,.308,.344,.481,43.2,67.8,12.3,6.3,.438,19.7,28.6,.226
121,2010,Houston,.531,5.58,2.52,2244,2146,74.7,93.5,.353,.262,.482,48.6,48.1,11.5,7.2,.448,16.9,32.5,.231
122,2010,Houston Christian,.107,-34.38,-8.79,1634,2068,75.5,76.2,.323,.280,.419,46.8,54.9,11.9,7.7,.385,25.9,34.3,.195
123,2010,Howard,.533,-13.11,-10.46,1704,1726,67.0,84.1,.343,.199,.421,51.3,49.1,11.7,4.9,.371,18.4,37.8,.239
124,2010,Idaho,.355,-3.40,2.25,1868,2043,70.7,84.3,.277,.390,.457,46.1,50.8,10.7,5.6,.424,18.5,26.8,.186
125,2010,Idaho State,.500,-8.10,-0.52,1839,1902,69.2,87.2,.275,.285,.477,47.6,64.2,10.9,6.0,.443,21.9,31.0,.192
126,2010,Illinois,.559,13.67,11.38,2090,2012,72.2,84.5,.280,.226,.482,52.8,57.3,11.6,15.0,.448,22.0,30.6,.196
127,2010,Illinois State,.778,12.32,3.49,2485,2167,69.6,98.8,.301,.287,.540,53.6,56.4,9.3,9.8,.496,18.9,31.6,.242
128,2010,Illinois-Chicago,.400,-1.96,0.30,1884,1952,70.9,88.5,.261,.255,.479,50.1,54.4,12.1,11.2,.448,19.7,32.7,.182
129,2010,Indiana,.467,11.78,11.24,1980,1964,74.5,87.5,.330,.293,.465,45.7,49.8,11.5,4.4,.424,18.5,30.9,.227
132,2010,Indiana State,.548,1.31,-0.33,1990,1939,71.4,89.8,.376,.348,.497,49.7,54.3,11.7,8.6,.443,20.0,27.5,.284
133,2010,Iona,.563,-0.02,-2.46,2050,1972,72.5,87.4,.269,.316,.464,52.8,58.4,13.4,8.7,.435,21.1,38.2,.176
134,2010,Iowa NCAA,.588,16.17,13.64,2359,2273,72.0,95.3,.297,.369,.523,51.0,57.1,8.6,10.1,.483,19.8,30.8,.229
135,2010,Iowa State NCAA,.758,21.59,9.77,2157,1767,63.8,102.0,.305,.392,.537,56.1,62.5,8.5,7.3,.503,18.5,36.2,.225
136,2010,IUPUI,.103,-24.69,-6.05,1498,1857,68.3,75.7,.366,.237,.436,50.4,48.3,12.7,10.7,.395,28.0,34.2,.235
137,2010,Jackson State,.214,-26.08,-12.90,1415,1784,71.7,70.2,.392,.174,.401,48.6,50.5,12.7,3.9,.353,25.3,36.5,.245
138,2010,Jacksonville,.333,-12.22,-7.59,1769,1826,75.1,78.2,.272,.203,.405,51.4,49.6,12.7,10.6,.368,21.7,38.6,.179
139,2010,Jacksonville State,.310,-20.77,-10.23,1661,1829,69.3,81.9,.277,.270,.431,47.9,55.7,9.9,7.5,.402,19.5,28.3,.172
140,2010,James Madison NCAA,.788,11.38,2.00,2337,2019,73.4,95.3,.351,.293,.493,54.7,48.0,9.4,8.4,.451,18.2,40.1,.249
141,2010,Kansas,.515,15.38,13.81,2232,2180,70.9,94.7,.319,.202,.523,52.5,54.9,8.4,8.5,.488,20.7,35.8,.228
142,2010,Kansas City,.500,-8.83,-7.43,2088,2013,69.6,93.3,.312,.291,.498,51.8,57.8,11.1,6.2,.468,21.1,35.2,.207
143,2010,Kansas State,.438,11.10,11.85,1971,1995,65.5,93.3,.273,.365,.503,48.3,52.7,8.0,5.5,.468,17.9,28.9,.200
144,2010,Kennesaw State,.367,-16.26,-6.91,1790,2050,75.4,78.8,.328,.280,.414,50.0,46.6,11.0,8.9,.369,21.1,39.5,.219
145,2010,Kent State,.645,1.14,-1.80,2018,1927,71.2,91.4,.414,.296,.487,52.7,56.6,13.5,6.4,.438,20.6,39.3,.289
146,2010,Kentucky NCAA,.778,24.02,9.08,2662,2094,75.2,98.0,.402,.265,.504,51.8,47.9,15.4,9.8,.458,17.2,35.4,.285
147,2010,La Salle,.241,-7.44,1.46,1503,1761,65.2,79.1,.308,.335,.479,42.6,64.9,9.9,4.8,.442,24.8,22.2,.216
148,2010,Lafayette,.207,-19.18,-4.94,1376,1789,65.4,71.9,.322,.163,.429,42.3,55.0,10.0,7.6,.387,23.9,24.2,.215
149,2010,Lamar NCAA,.765,-1.16,-7.64,2549,2074,73.6,101.8,.286,.326,.509,52.3,62.8,12.5,9.7,.480,18.0,36.5,.195
150,2010,Lehigh NCAA,.879,3.32,-6.53,2148,1823,71.1,90.9,.366,.334,.496,49.4,62.6,13.2,9.3,.459,19.7,29.8,.247
151,2010,Liberty NCAA,.818,8.50,-6.77,2216,1578,65.6,102.4,.410,.157,.534,63.3,48.9,17.4,8.4,.506,23.1,50.7,.264
154,2010,Lipscomb,.167,-18.78,-9.58,1763,1967,70.7,82.4,.323,.386,.450,44.6,61.5,10.1,4.8,.414,19.9,27.1,.209
155,2010,Little Rock NCAA,.794,11.36,-2.06,2246,1790,66.9,98.4,.317,.199,.510,51.5,60.5,13.7,5.8,.477,16.0,31.5,.219
156,2010,Long Beach State,.433,-2.19,0.01,2015,2014,71.8,92.8,.305,.353,.506,48.0,56.5,9.8,4.3,.467,20.3,29.3,.224
157,2010,Long Island University,.688,-2.80,-7.39,2178,2031,72.4,93.7,.405,.210,.501,53.8,62.4,11.5,4.9,.473,21.0,38.9,.250
158,2010,Louisiana,.290,-16.75,-7.44,1927,2086,72.7,84.8,.337,.211,.440,46.9,44.0,11.0,3.1,.402,20.9,33.0,.217
159,2010,Louisiana State NCAA,.677,25.76,9.22,2124,1592,67.4,99.3,.348,.205,.492,55.0,58.1,13.2,10.0,.448,15.1,35.8,.252
160,2010,Louisiana Tech NCAA,.719,9.31,-0.60,2363,1967,74.9,97.8,.373,.203,.502,54.6,53.7,9.3,8.6,.463,18.6,36.8,.257
161,2010,Louisiana-Monroe,.345,-13.31,-7.08,1710,1815,71.3,82.3,.315,.214,.421,54.1,53.9,10.8,5.2,.373,21.2,38.6,.221
162,2010,Louisville,.438,8.62,10.87,2134,2206,73.9,89.6,.396,.230,.500,52.4,47.4,10.2,6.4,.454,24.0,39.1,.281
163,2010,Loyola (IL),.500,-5.87,-3.04,1855,1868,66.1,92.1,.248,.360,.518,46.6,68.1,10.4,8.6,.490,20.8,24.8,.178
164,2010,Loyola (MD),.467,-4.97,-4.94,1833,1834,71.4,85.2,.303,.309,.482,47.1,51.4,12.1,4.4,.441,20.4,25.2,.221
165,2010,Loyola Marymount,.433,0.50,2.50,1960,1880,67.5,96.4,.277,.335,.495,48.8,47.2,11.0,4.6,.456,17.9,32.3,.210
166,2010,Maine,.276,-11.60,-1.36,1582,1879,70.8,77.1,.356,.229,.436,50.5,61.5,10.3,6.1,.387,24.0,34.7,.245
167,2010,Manhattan,.500,-3.59,-5.56,1869,1810,69.1,89.4,.398,.286,.496,45.2,57.5,14.7,7.7,.450,20.5,29.3,.279
168,2010,Marist NCAA,.765,8.54,-0.84,2292,1973,68.0,98.5,.330,.345,.522,48.9,61.8,11.3,11.8,.472,16.7,30.3,.263
169,2010,Marquette,.515,12.77,10.74,2056,1989,72.7,85.1,.367,.259,.470,50.7,60.9,12.3,6.0,.420,21.3,32.6,.265
170,2010,Marshall,.467,-2.84,-0.40,1803,1876,69.3,85.7,.322,.161,.454,52.1,62.4,10.4,8.5,.431,20.4,37.2,.185
171,2010,Maryland,.618,14.49,8.31,2380,2131,73.4,95.4,.325,.304,.514,56.9,53.6,8.2,8.5,.492,21.6,41.0,.203
172,2010,Maryland-Baltimore County,.433,-7.32,-1.22,1760,1943,70.2,83.6,.268,.365,.475,45.4,55.7,7.8,7.4,.440,20.8,24.6,.191
173,2010,Maryland-Eastern Shore,.429,-15.76,-11.35,1645,1699,70.4,83.1,.344,.274,.454,51.7,50.7,10.8,8.6,.417,22.9,35.9,.222
176,2010,Massachusetts,.367,-2.87,2.10,1776,1925,66.6,87.7,.364,.363,.498,50.1,69.0,10.3,8.6,.448,22.4,32.0,.272
177,2010,McNeese State,.241,-19.62,-10.25,891,,,,.360,.335,.491,,72.6,,,.443,22.8,,.265
178,2010,Memphis,.588,0.49,-1.13,2293,2238,75.7,88.2,.344,.184,.457,50.1,45.4,15.0,7.1,.441,19.1,38.4,.181
179,2010,Mercer,.467,-9.48,-6.88,1922,2000,73.4,87.3,.276,.330,.482,47.2,52.8,12.0,6.7,.447,19.5,28.0,.196
180,2010,Miami (FL),.611,16.08,7.44,2693,2382,76.5,96.1,.327,.285,.496,50.9,52.1,14.2,9.4,.462,17.7,37.0,.222
181,2010,Miami (OH),.290,-4.34,1.50,2044,2225,76.7,85.6,.316,.283,.489,45.5,56.6,13.6,11.2,.442,22.8,29.5,.240
182,2010,Michigan,.600,18.77,12.14,2308,2076,70.2,93.6,.293,.358,.508,50.0,54.9,11.9,8.5,.485,18.6,29.4,.188
183,2010,Michigan State NCAA,.697,21.01,13.68,2214,1972,72.8,91.1,.351,.255,.490,54.3,62.0,10.5,15.4,.453,20.0,36.0,.237
184,2010,Middle Tennessee NCAA,.806,17.44,0.79,2506,1990,74.7,107.7,.253,.428,.564,49.9,60.6,16.3,5.7,.539,17.5,35.5,.187
185,2010,Milwaukee,.387,-4.00,-0.93,1885,1980,70.1,86.7,.295,.286,.495,50.8,66.2,7.5,6.0,.460,23.6,33.5,.210
186,2010,Minnesota,.433,13.55,12.22,1885,1845,70.4,88.1,.330,.312,.476,51.1,62.0,12.2,6.7,.425,20.2,33.3,.252
187,2010,Mississippi,.531,15.03,9.90,2282,1984,67.2,104.9,.303,.350,.512,52.2,57.5,11.3,4.9,.476,16.6,40.1,.219
188,2010,Mississippi State NCAA,.618,20.42,10.48,2405,2067,72.9,96.3,.263,.349,.496,50.6,57.4,12.6,9.6,.468,17.7,36.2,.179
189,2010,Mississippi Valley State,.310,-19.20,-8.09,1718,1803,72.0,81.9,.511,.225,.437,51.5,51.9,13.7,8.1,.384,23.8,37.4,.319
190,2010,Missouri,.400,12.07,11.07,1857,1827,69.5,88.3,.311,.280,.453,48.4,55.0,12.1,9.4,.415,16.7,33.7,.209
191,2010,Missouri State,.667,6.59,0.56,2510,2311,75.8,100.0,.390,.274,.531,50.9,56.9,13.9,7.2,.481,18.7,36.3,.296
192,2010,Monmouth,.533,-7.31,-6.45,1725,1751,66.8,85.8,.302,.327,.459,50.2,55.9,10.5,2.8,.422,20.1,35.6,.204
193,2010,Montana,.517,-2.45,-1.67,1864,1734,68.6,93.2,.364,.206,.480,53.0,53.8,12.1,12.5,.427,19.2,36.0,.273
194,2010,Montana State,.563,-1.90,-4.00,2306,2152,75.6,95.0,.267,.300,.510,53.4,50.3,9.4,12.0,.481,19.5,33.3,.188
